DATE,DailyAverageDryBulbTemperature,DailySnowDepth,DailySustainedWindSpeed,date,tripduration,daysFrom
6/1/13 23:59,82.0,0.0,12.0,06-01-13,109.0,0
6/2/13 23:59,79.0,0.0,15.0,06-02-13,189.0,1
6/3/13 23:59,72.0,0.0,12.0,06-03-13,90.0,2
6/4/13 23:59,66.0,0.0,13.0,06-04-13,186.0,3
6/5/13 23:59,66.0,0.0,10.0,06-05-13,168.0,4
6/6/13 23:59,65.0,0.0,13.0,06-06-13,135.0,5
6/7/13 23:59,61.0,0.0,20.0,06-07-13,15.0,6
6/8/13 23:59,67.0,0.0,15.0,06-08-13,188.0,7
6/9/13 23:59,72.0,0.0,10.0,06-09-13,258.0,8
6/10/13 23:59,66.0,0.0,14.0,06-10-13,52.0,9
6/11/13 23:59,72.0,0.0,16.0,06-11-13,134.0,10
6/12/13 23:59,71.0,0.0,16.0,06-12-13,166.0,11
6/13/13 23:59,62.0,0.0,20.0,06-13-13,79.0,12
6/14/13 23:59,63.0,0.0,18.0,06-14-13,162.0,13
6/15/13 23:59,71.0,0.0,12.0,06-15-13,303.0,14
6/16/13 23:59,73.0,0.0,15.0,06-16-13,254.0,15
6/17/13 23:59,77.0,0.0,10.0,06-17-13,223.0,16
6/18/13 23:59,74.0,0.0,12.0,06-18-13,144.0,17
6/19/13 23:59,68.0,0.0,13.0,06-19-13,267.0,18
6/20/13 23:59,71.0,0.0,12.0,06-20-13,301.0,19
6/21/13 23:59,73.0,0.0,10.0,06-21-13,292.0,20
6/22/13 23:59,75.0,0.0,10.0,06-22-13,273.0,21
6/23/13 23:59,79.0,0.0,14.0,06-23-13,283.0,22
6/24/13 23:59,83.0,0.0,13.0,06-24-13,247.0,23
6/25/13 23:59,82.0,0.0,14.0,06-25-13,313.0,24
6/26/13 23:59,80.0,0.0,12.0,06-26-13,335.0,25
6/27/13 23:59,80.0,0.0,13.0,06-27-13,257.0,26
6/28/13 23:59,79.0,0.0,12.0,06-28-13,242.0,27
6/29/13 23:59,77.0,0.0,12.0,06-29-13,339.0,28
6/30/13 23:59,80.0,0.0,10.0,06-30-13,263.0,29
7/1/13 23:59,75.0,0.0,14.0,07-01-13,161.0,30
7/2/13 23:59,77.0,0.0,12.0,07-02-13,248.0,31
7/3/13 23:59,78.0,0.0,12.0,07-03-13,230.0,32
7/4/13 23:59,81.0,0.0,14.0,07-04-13,249.0,33
7/5/13 23:59,83.0,0.0,13.0,07-05-13,220.0,34
7/6/13 23:59,85.0,0.0,13.0,07-06-13,236.0,35
7/7/13 23:59,85.0,0.0,13.0,07-07-13,233.0,36
7/8/13 23:59,81.0,0.0,13.0,07-08-13,234.0,37
7/9/13 23:59,81.0,0.0,15.0,07-09-13,304.0,38
7/10/13 23:59,80.0,0.0,13.0,07-10-13,255.0,39
7/11/13 23:59,80.0,0.0,10.0,07-11-13,259.0,40
7/12/13 23:59,73.0,0.0,18.0,07-12-13,178.0,41
7/13/13 23:59,74.0,0.0,13.0,07-13-13,283.0,42
7/14/13 23:59,82.0,0.0,10.0,07-14-13,292.0,43
7/15/13 23:59,86.0,0.0,9.0,07-15-13,313.0,44
7/16/13 23:59,86.0,0.0,14.0,07-16-13,320.0,45
7/17/13 23:59,88.0,0.0,9.0,07-17-13,339.0,46
7/18/13 23:59,90.0,0.0,9.0,07-18-13,298.0,47
7/19/13 23:59,90.0,0.0,15.0,07-19-13,304.0,48
