start_station_id,starttime,daysSinceStart
72.0,06-01-13,0
79.0,06-01-13,0
82.0,06-01-13,0
83.0,06-01-13,0
116.0,06-01-13,0
119.0,06-02-13,1
120.0,06-01-13,0
127.0,06-01-13,0
128.0,06-01-13,0
137.0,06-01-13,0
143.0,06-01-13,0
144.0,06-01-13,0
146.0,06-01-13,0
147.0,06-01-13,0
150.0,06-01-13,0
151.0,06-01-13,0
152.0,06-01-13,0
153.0,06-24-13,23
157.0,06-01-13,0
160.0,06-22-13,21
161.0,06-01-13,0
164.0,06-01-13,0
167.0,06-01-13,0
168.0,06-01-13,0
173.0,06-01-13,0
174.0,06-01-13,0
195.0,06-01-13,0
212.0,06-01-13,0
216.0,06-01-13,0
217.0,06-01-13,0
218.0,06-04-13,3
223.0,06-01-13,0
224.0,06-01-13,0
225.0,06-01-13,0
228.0,06-01-13,0
229.0,06-01-13,0
232.0,06-01-13,0
233.0,06-01-13,0
236.0,06-01-13,0
237.0,06-01-13,0
238.0,06-01-13,0
239.0,06-02-13,1
241.0,06-01-13,0
242.0,06-01-13,0
243.0,06-01-13,0
244.0,06-01-13,0
245.0,06-01-13,0
247.0,06-01-13,0
248.0,06-02-13,1
249.0,06-01-13,0
250.0,06-01-13,0
251.0,06-01-13,0
252.0,06-01-13,0
253.0,06-01-13,0
254.0,06-01-13,0
255.0,06-01-13,0
257.0,06-01-13,0
258.0,06-01-13,0
259.0,06-01-13,0
260.0,06-01-13,0
261.0,06-01-13,0
262.0,06-01-13,0
263.0,06-05-13,4
264.0,06-01-13,0
265.0,06-01-13,0
266.0,06-01-13,0
267.0,06-01-13,0
268.0,06-01-13,0
270.0,06-01-13,0
271.0,06-01-13,0
274.0,06-01-13,0
275.0,06-01-13,0
276.0,06-01-13,0
278.0,06-02-13,1
279.0,06-02-13,1
280.0,06-01-13,0
281.0,06-01-13,0
282.0,06-01-13,0
284.0,06-01-13,0
285.0,06-01-13,0
289.0,06-01-13,0
290.0,06-01-13,0
291.0,06-01-13,0
293.0,06-01-13,0
294.0,06-01-13,0
295.0,06-01-13,0
296.0,06-01-13,0
297.0,06-01-13,0
298.0,06-01-13,0
300.0,06-01-13,0
301.0,06-01-13,0
302.0,06-02-13,1
303.0,06-01-13,0
304.0,06-01-13,0
305.0,06-01-13,0
306.0,06-01-13,0
307.0,06-01-13,0
308.0,06-01-13,0
309.0,06-01-13,0
310.0,06-01-13,0
311.0,06-01-13,0
312.0,06-01-13,0
313.0,06-01-13,0
314.0,06-01-13,0
315.0,06-01-13,0
316.0,06-01-13,0
317.0,06-01-13,0
318.0,06-02-13,1
319.0,06-01-13,0
320.0,06-01-13,0
321.0,06-01-13,0
322.0,06-02-13,1
323.0,06-01-13,0
324.0,06-01-13,0
325.0,06-01-13,0
326.0,06-01-13,0
327.0,06-01-13,0
328.0,06-01-13,0
329.0,06-01-13,0
330.0,06-01-13,0
331.0,06-01-13,0
332.0,06-01-13,0
334.0,06-01-13,0
335.0,06-01-13,0
336.0,06-01-13,0
337.0,06-01-13,0
339.0,06-02-13,1
340.0,06-01-13,0
341.0,06-01-13,0
342.0,06-01-13,0
343.0,06-01-13,0
344.0,06-01-13,0
345.0,06-01-13,0
346.0,06-01-13,0
347.0,06-01-13,0
