,Date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees.br...,city,season
23507,6/9/2012,70,60,50,44,42,39,74,54,33,30.01,29.95,29.88,10,10,10,26,14,31,0,,,,,
23508,6/10/2012,85,71,56,55,40,29,73,44,15,29.91,29.89,29.86,10,10,10,23,9,28,0,,,,,
23509,6/11/2012,80,67,54,55,47,44,77,57,37,29.97,29.94,29.89,10,10,8,26,11,30,0,,,,,
23510,6/12/2012,74,64,53,52,49,46,83,64,44,29.98,29.96,29.92,10,10,9,43,18,51,0,,,,,
23511,6/13/2012,66,59,52,49,47,45,83,70,56,29.94,29.86,29.79,10,10,8,26,14,32,0,,,,,
23512,6/14/2012,65,59,52,47,46,44,83,68,52,29.84,29.82,29.8,10,9,7,35,16,40,0,,,,,
23513,6/15/2012,74,62,50,50,46,44,77,56,35,29.83,29.81,29.78,10,10,9,25,11,30,0,,,,,
23514,6/16/2012,87,71,55,57,50,48,77,55,32,29.85,29.81,29.76,10,9,6,23,9,28,0,,,,,
23515,6/17/2012,73,64,55,55,52,49,83,69,55,29.89,29.86,29.79,10,10,9,23,11,29,0,,,,,
23516,6/18/2012,71,63,54,51,47,42,83,62,40,29.92,29.89,29.85,10,10,10,22,9,25,0,,,,,
23517,6/19/2012,74,64,53,52,48,45,77,61,44,29.92,29.87,29.84,10,10,9,23,10,28,0,,,,,
23518,6/20/2012,79,67,54,57,50,46,83,61,39,29.86,29.83,29.81,10,10,8,29,12,33,0,,,,,
23519,6/21/2012,60,56,52,48,47,45,83,73,62,30,29.94,29.84,10,10,10,24,14,29,0,,,,,
23520,6/22/2012,69,61,52,52,48,44,83,66,49,29.98,29.94,29.89,10,10,9,17,10,22,T,,,,,
23521,6/23/2012,66,60,53,49,46,43,77,63,48,29.97,29.92,29.88,10,10,10,23,13,26,0,,,,,
23522,6/24/2012,67,60,53,49,45,40,77,57,37,30.06,30.02,29.97,10,10,10,24,9,29,0,,,,,
23523,6/25/2012,69,61,53,52,48,44,80,60,40,30.1,30.08,30.06,10,10,10,28,9,31,0,,,,,
23524,6/26/2012,69,62,54,50,48,47,77,61,45,30.07,30.01,29.92,10,10,10,30,15,35,0,,,,,
23525,6/27/2012,70,62,53,50,49,47,83,66,49,29.97,29.93,29.9,10,10,10,26,13,32,0,,,,,
23526,6/28/2012,68,62,55,52,50,47,83,64,45,30.11,30.05,29.97,10,10,9,28,13,33,0,,,,,
23527,6/29/2012,68,62,56,55,54,52,93,78,63,30.13,30.09,30.05,10,10,3,23,13,28,0,,,,,
23528,6/30/2012,71,65,58,59,56,54,90,76,61,30.05,30.01,29.97,10,9,6,28,13,32,0,,,,,
23529,7/1/2012,68,63,58,57,54,53,93,80,67,29.99,29.96,29.91,10,9,4,22,10,28,0,,,,,
23530,7/2/2012,67,61,55,53,51,49,80,70,60,29.94,29.91,29.87,10,10,10,25,14,32,0,,,,,
23531,7/3/2012,69,62,55,50,49,48,77,63,49,29.92,29.89,29.84,10,10,10,23,12,29,0,,,,,
23532,7/4/2012,72,63,54,55,50,48,83,66,49,29.92,29.86,29.83,10,10,9,24,8,28,0,,,,,
23533,7/5/2012,65,60,55,49,48,47,77,67,56,30.02,29.98,29.92,10,10,10,25,14,33,0,,,,,
23534,7/6/2012,68,62,55,52,50,48,77,67,56,30.03,30.01,29.98,10,10,10,25,14,29,0,,,,,
23535,7/7/2012,75,64,53,51,50,48,89,65,41,30.01,29.98,29.94,10,10,9,29,14,32,0,,,,,
23536,7/8/2012,64,59,53,51,50,49,86,75,63,30.05,30.03,29.99,10,10,9,24,16,30,0,,,,,
23537,7/9/2012,65,59,53,51,50,49,86,73,60,30.08,30.03,29.98,10,10,9,24,16,29,0,,,,,
23538,7/10/2012,74,63,51,53,50,48,89,67,44,29.98,29.92,29.83,10,10,8,25,11,30,0,,,,,
23539,7/11/2012,77,65,52,52,49,48,83,63,43,29.9,29.86,29.8,10,10,10,26,13,31,0,,,,,
23540,7/12/2012,66,60,53,50,49,48,83,72,60,29.88,29.85,29.83,10,10,10,26,15,31,0,,,,,
23541,7/13/2012,63,58,53,52,49,47,83,72,60,29.96,29.93,29.87,10,10,9,28,14,36,0,,,,,
